Título,Información
¿Por donde puedo viajar con mi camper? ¿Puedo viajar fuera de España? ¿A que paises?,"¿Puedo viajar fuera de España? ¿A que países puedo viajar?

Si. Sin problema. Las campers de Furgocasa cuentan todas con seguro con carta verde que permite viajar (e incluye asistencia en carretera) a la mayoría de países de nuestro entorno: por supuesto, la UE, pero, por ejemplo, tambien Marruecos.

Se puede viajar sin problema a:
- Todos los países de la Unión Europea.
- Marruecos.<

Recordar en este sentido que: Furgocasa alquila sus campers con kilómetros ilimitados."
Alquiler con opción a compra. ¿Puedo alquilar una de las furgonetas en venta para probarla antes de comprarla? ,"En FURGOCASA ofrecemos la opción de alquiler con opción a compra. Esto significa que si alquilas alguna de las campers que tenemos en venta y tras el alquiler quieres comprarla, el precio satisfecho por el alquiler se descontará del precio de venta. En Furgocasa recomendamos utilizar siempre esta opción antes de valorar la compra de un vehículo, para asegurarnos de que la camper escogida es la opción ideal. Es la mejor forma de probar. "
Cancelación del alquiler,"Habiendo vencido el plazo para ejercer el derecho a desistir (que prevalece en todo caso), en caso de cancelación FURGOCASA aplicará los siguientes cargos:
CANCELACION GRATUIRA HASTA 60 DIAS ANTES DEL COMIENZO DEL ALQUILER.
-	entre 59 días y 16 días antes del comienzo del alquiler, 10% del precio total del alquiler. El cliente podrá contratar, en el momento de realización de la reserva, un servicio de cancelación, por 5 euros al día, que limitará el coste de cancelación de este periodo a dicho precio. Esta cobertura no aplicará sobre las penalizaciones recogidas a continuación; es decir, cuando resten menos de 16 días hasta el comienzo del alquiler.
-	entre 15 y 8 días antes del inicio del alquiler, 50% del precio total del alquiler.
-	menos de 7 días antes del inicio del alquiler, 75% del precio total del alquiler.
Para ejercitar el referido derecho a anular la reserva, el cliente deberá notificar a FURGOCASA CAMPERVANS, S.L. a través del email reservas@furgocasa.com su decisión de desistir del contrato dentro del plazo correspondiente.
En ningún caso el cliente podrá hacer uso de este derecho de cancelación para, realizando una nueva reserva, beneficiarse de eventuales bajadas del precio inicialmente contratado para unas fechas (que FURGOCASA es libre de hacer considerando la política de fijación de precios anteriormente explicada). En tal caso, prevalecerán siempre las condiciones de precio del primer alquiler.
"
Derecho de desistimiento,"El cliente dispone, a excepción de lo dispuesto en el párrafo anterior, durante 14 días naturales del derecho a desistir del contrato de alquiler sin necesidad de justificación y sin penalización alguna. 
El plazo de desistimiento expirará a los 14 días naturales del envío de la factura y contrato por parte de FURGOCASA. En los casos en los que, entre el momento de formalización de la reserva y el comienzo del alquiler, diste menos de los referidos 14 días, el derecho para desistir vencerá, como tarde 7 días antes del inicio del viaje. Si la reserva se realiza con menos margen, es decir, si entre el momento de realización de la reserva y el comienzo del viaje distan menos de 7 días, no podrá ejercitarse este derecho.
El cliente tiene la opción de modificar una vez las fechas de su alquiler sin coste alguno. En el caso de que, habiéndose realizado una reserva previa, el cliente ejerza el derecho de modificación de fechas de su alquiler y el precio para estos nuevos días haya variado al alza o a la baja, siempre que la reserva se cambie dentro de la misma “Temporada”, se mantendrá el precio día inicial. En caso de que la modificación se realice a temporada distinta, se tendrán en cuenta para el ajuste los precios orientativos mostrados en esta tabla.

##Consecuencias del desistimiento

En caso de desistimiento por su parte, le devolveremos todos los pagos recibidos de usted, incluidos los gastos de entrega (con la excepción de los gastos adicionales resultantes de la elección por su parte de una modalidad de entrega diferente a la modalidad menos costosa de entrega ordinaria que ofrezcamos) sin ninguna demora indebida y, en todo caso, a más tardar 14 días naturales a partir de la fecha en la que se nos informe de su decisión de desistir del presente contrato y se nos facilite un número de cuenta al que poder realizar la transferencia.

##Exclusión del derecho de desistimiento
El derecho de desistimiento no será aplicable a los contratos que se refieran a la prestación de servicios, una vez que el servicio haya sido completamente ejecutado, cuando la ejecución haya comenzado, con previo consentimiento expreso del consumidor y usuario y con el reconocimiento por su parte de que es consciente de que, una vez que el contrato haya sido completamente ejecutado por el empresario, habrá perdido su derecho de desistimiento.

"
Devolución del vehículo,"### Devoluciones

Las devoluciones deberán realizarse siempre en la **hora acordada**, que en todo caso deberá encontrarse dentro del **horario de entrega y devolución fijado por FURGOCASA**.  

En ningún caso se podrá acordar ni realizar una devolución fuera del horario fijado. En caso de que, por retraso en relación con la hora de devolución acordada, el cliente exceda el horario de devolución previsto, la devolución deberá realizarse en la siguiente franja horaria de apertura, aplicándose en su caso las penalizaciones por retraso que correspondan.  

El vehículo se devolverá en las mismas condiciones en las que fuera entregado. En particular:  

- Deberá estar **limpio interiormente** (la limpieza exterior no es necesaria).  
- Los **depósitos de aguas residuales y del WC** deberán estar vacíos.  

En caso contrario, se cobrará un suplemento de:  

- ♦ **20 € (IVA incluido)** en relación al vaciado de aguas grises.  
- ♦ **Desde 120 € (IVA incluido)** en relación a la limpieza del habitáculo del vehículo.  
- ♦ **70 € (IVA incluido)** en relación al vaciado de las aguas negras (WC Químico).  
"
Duración del alquiler,"# Duración del alquiler

- El **alquiler mínimo** varía en función de la temporada:  
  1. **Temporada Baja y Media** → mínimo **2 días**  
  2. **Temporada Alta** → mínimo **7 días**  

> Estas duraciones mínimas pueden variar, en especial el mínimo de temporada alta a la baja, para favorecer la demanda en determinados periodos.

- El **alquiler máximo** es de **60 días**.

---

## Inicio y fin del período de alquiler

- El período de alquiler **empieza** con la llegada del cliente a la cita con **FURGOCASA** a la hora acordada en el punto de entrega.  
- Finaliza con la **devolución del vehículo** a la hora acordada en el punto de devolución.

---

## Consideraciones sobre la entrega

- Se entenderá que la devolución del vehículo se ha producido **cuando el cliente entrega las llaves al personal de FURGOCASA**.  
- **No se considera hora de entrega**:  
  - La hora de llegada del cliente al parking.  
  - Cuando el cliente aún necesita realizar tareas de limpieza o vaciado de depósitos antes de la devolución.  

En este último caso, se aplicarán **penalizaciones por retraso**.

"
Extras y accesorios incluidos en el alquiler,"Entregamos nuestras autocaravanas Campervans con todos los extras y accesorios necesarios para que disfrutes al máximo de tu alquiler. 
La ropa de cama, de baño y la opción de aparcar tu vehículo en nuestra nave el tiempo que dure tu alquiler tienen un cargo adicional.
•	Derecho a desistir los primeros 14 días sin cargo.
•	Cancelación gratuita hasta 60 días antes del inicio.
•	Kilómetros ilimitados.
•	Conductor/es adicional/es.
•	Accesorios básicos para la camper: manguera para llenar aguas, cables de conexión para la red eléctrica y calzas (niveladores bajo rueda).
•	El gas propano.
•	Pastillas para el WC químico; productos específicos para el inodoro de la camper.
•	Utensilios de cocina: que incluye, sarten, cazo, tabla de cortar, cuchillo, cafetera italiana y vajilla de cuatro (cubiertos, vasos y platos).
•	Kit de camping: que incluye dos sillas y una mesa plegable para usar en el exterior.
•	Sabanas y almohadas (sup. 30 euros).
•	Edredón invierno (sup. 20 euros).
•	Toallas baño (sup. 20 euros).
•	Mascotas permitidas (sup. 40 euros).
•	Aparcamiento (sup. 10 euros día); solo a partir de 4 días de alquiler. SOLO DISPONIBLE EN MURCIA.
"
Fianza,"# Fianza del alquiler

## Pago de la fianza
- Antes de que se confirme la cita del alquiler, el cliente deberá abonar una **fianza de 1.000 €** como garantía del cumplimiento de las obligaciones del contrato.  
- El pago debe hacerse mediante **transferencia bancaria** a la cuenta titularidad de **FURGOCASA CAMPERVANS** que se proporcione al cliente.  
- El plazo máximo para realizar este pago es de **72 horas (3 días) antes del inicio del alquiler**.  

### Documentación a enviar
El cliente debe remitir por email a **reservas@furgocasa.com**:  
1. Justificante de la transferencia.  
2. Certificado de titularidad bancaria de la cuenta desde la que se realiza el pago.  

⚠️ **El titular de la cuenta debe coincidir con el nombre del cliente** que figura en el documento de identificación (DNI o Pasaporte) usado para la reserva.  

### Consecuencia del impago
Si no se realiza el pago de la fianza en plazo, se considerará un **incumplimiento contractual** y el alquiler será **cancelado**.

---

## Devolución de la fianza
- La devolución se tramitará en un plazo de **10 días laborales** tras la devolución del vehículo.  
- Durante este periodo, **FURGOCASA** tiene derecho a:  
  - Examinar el vehículo.  
  - Realizar las pruebas y revisiones necesarias.  
  - Detectar posibles daños o desperfectos ocasionados durante el alquiler.  

El cliente **acepta previamente** la valoración de los daños que resulten de la inspección realizada por el personal de **FURGOCASA**.
"
Horario de citas: puntualidad y retrasos,"Es importante acudir puntualmente a las citas acordadas con FURGOCASA. Tanto las de recogida como las de devolución del vehículo.

Nosotros no estamos donde están aparcadas nuestras campers y nos desplazamos y esperamos expresamente en la localización para cada alquiler.

Por norma general los horarios que aparezcan en la factura del alquiler remitida al cliente por FURGOCASA se considerarán los acordados.

Un retraso excesivo injustificado o la no aparición del cliente en una cita sin causa justificable y sin avisar previamente conllevará la CANCELACION DEL ALQUILER sin derecho a reembolso.

Los retrasos, tanto en la cita de entrega como en la de devolución del vehículo conllevan una penalización.

Si no se acude puntual a la cita acordada, el cliente abonará a FURGOCASA la cantidad de 40 euros (IVA incluido) por la primera hora y de 20 euros (IVA incluido) por cada hora de retraso extra. No obstante, como máximo, por cada día de retraso el precio será el equivalente a dos días de alquiler.

El cliente, salvo causa de fuerza mayor debidamente justificada y comunicada a FURGOCASA lo antes posible, asumirá todos los gastos ocasionados por un retraso en la devolución del vehículo y, en especial, aquellos gastos derivados de la circunstancia de que otro cliente u otra persona haga valer sus derechos frente a FURGOCASA como consecuencia del citado retraso.

Cualquier causa justificada de fuerza mayor que impida la devolución en el día acordado, deberá ser comunicada inmediatamente a FURGOCASA para que sea aceptada; en caso contrario se considerará retraso no autorizado.

IMPORTANTE
Recomendamos, en el caso de que, por la circunstancia que sea, el cliente prevea llegar con retraso a una cita, que, cuanto antes, se ponga en contacto con FURGOCASA con el fin de informar o ampliar su alquiler el tiempo necesario pagando la tarifa diaria normal, lo que supondría un coste inferior al de la penalización referida en el párrafo anterior.

Es posible, que a razón de un alquiler posterior ya cerrado, no sea posible extender tu alquiler. En estos casos, por favor, no llegues tarde. El próximo cliente tienen tambien derecho a disfrutar del viaje contratado en su integridad.

"
Localizaciones de FURGOCASA: sedes donde se puede realizar el alquiler: Murcia y Madrid,"** La sede principal de FURGOCASA se encuentra en Casilla, Murcia. En esta sede:
- se aplican las duraciones mínimos de alquiler ""normales"" (2 días en temporada baja, 7 en temporada alta). 
- se ofrece servicio de parking por 10 euros al día: duración mínima del alquiler 4 días. importe mínimo parking 40 euros.

** FURGOCASA ofrece también servicios de entrega y recogida de alquiler en Madrid con una duración mínima del alquiler de 10 días.

** No es posible devolver la camper en una ubicación distinta a la de recogida. Si una camper se recoge en Murcia, se deberá devolver en Murcia.

** Si un cliente pregunta por una ubicación distinta de las de Madrid o Murcia, se le debe de recomendar acudir a una de estas dos, la próxima, diciendo, por ejemplo: ""Benidorm está tan solo a 240 kms (2 horas conduciendo) de nuestra sede de MURCIA. Piénsatelo! seguro que te merecerá la pena venir.""


*** Ejemplos de preguntas frecuentes:
EJEMPLO 1
Cliente: ""Hola, tenéis sede en Benidorm?""
Tú: ""En este momento no contamos con sede en Benidorm. 
Nuestra sede mas cercana esta en Casillas, Murcia, a apenas 77 kilómetros; menos de 1 hora en coche.
Valora nuestras condiciones. seguro que te merecerá la pena venir."""
