Título,Información
ESP - Aire acondicionado,"# Aire acondicionado en las campers de Furgocasa

- Ninguno de nuestros modelos cuenta con **aire acondicionado en la zona del habitáculo**.  
- El único aire acondicionado es el de la **cabina frontal del vehículo**, que funciona únicamente cuando el motor está arrancado y estamos conduciendo.  
- **No se recomienda** dejar el vehículo arrancado sin circular, ya que puede generar una **avería grave en el motor**.  
"
ESP - Aplicación Mapas de áreas de autocaravanas: página web para localizar áreas de autocaravanas y campers en España,"MAPA DE AREAS DE PERNOCTA DE AUTOCARAVANAS
FURGOCASA ha desarrollado una aplicación web publicada en internet (no es necesario descargar ninguna app para utilizarla) que registra en un mapa todas las áreas de autocaravanas De España sus servicios su posición descripción etc. 
Es una web creada para que los viajeros de las furgonetas campers puedan buscar dónde dormir y dónde vaciar y recargar aguas durante su viaje de forma interactiva a través de un mapa.
La url es: https://mapa.furgocasa.com/ 
"
"ESP - Cama supletoria o cama adicional: ¿Cómo montar la ""tercera"" cama en el salón? ","Algunos de nuestros modelos de camper tienen la opción de configurar una cama adicional en la zona del salón.
Estas camas no la ofrecemos como ""tercera"" cama porque en la practica son camas cortas, con una superficie que no es totalmente plana. Ten en cuenta que se montan con el sofá, la mesa del salón y el asiento del conductor, tres elementos que no esta correctamente nivelados.
Para montar esta cama es necesario sacar la mesa del salón de la guía superior, acortar la pata de la mesa (en algunos modelos se pliega y en otro la pata esta compuesta de dos partes de las cuales la de abajo se puede quitar, dejando solo una) y colocar de nuevo la mesa sobre la guía inferior.
Hecho esto, utilizando los respaldos del sofá, los asientos y alineando el asiento del conductor, se montaría esa cama adicional.
"
ESP - Guía de actuación con daños: roturas elementos rotos,"# Gestión de daños en la camper

---

## Detección de daños previos ya existentes
- Si al comienzo del alquiler (primer o segundo día) observas algún **daño en la camper** que crees que ya estaba allí y que pudo pasar desapercibido en la revisión del equipo de Furgocasa:  
  - Haz **fotos** del daño.  
  - **Regístralo**.  
  - Informa al personal de Furgocasa lo antes posible para que quede constancia.  

> Si el aviso se produce varios días después del inicio del alquiler, o únicamente al final, la credibilidad será menor y se tendrá que atribuir el daño a tu alquiler, descontando el coste de reparación de la fianza.

---

## Nuevos daños ocasionados durante el alquiler

Si ocasionas un daño o rompes algún elemento de la camper, sigue estos pasos:

1. **Evalúa el daño**  
   Determina la gravedad. Si es un problema menor, quizá puedas repararlo temporalmente.

2. **Documenta el daño**  
   Haz fotos (ej. cajón roto u otro elemento afectado). Esto servirá de prueba para reportarlo.

3. **Contacta a Furgocasa**  
   Informa al equipo de asistencia lo antes posible.  
   - WhatsApp: **+34 608 307 381**  
   Nuestro equipo te dará instrucciones sobre cómo proceder y resolver la situación.

4. **No realices reparaciones no autorizadas**  
   A menos que esté dentro de tus capacidades y sea seguro hacerlo, evita reparaciones por tu cuenta para no causar más daños.

---

✅ Siguiendo estos pasos podrás gestionar cualquier incidencia de manera adecuada y sin complicaciones.
"
"ESP - Guía de devolución de la camper: como devolver y aparcar fuera, vaciado agua, gasolina","# Guía de devolución de la camper en FURGOCASA

Esta guía detalla los procedimientos y recomendaciones para la correcta devolución de la camper en las instalaciones de **FURGOCASA** y cómo aparcarla debidamente fuera de nuestra nave.

---

## 1. Cómo devolver la camper al finalizar el alquiler

Para facilitar la devolución de la camper, sigue estos pasos:

### Revisar el contrato
Consulta tu contrato de alquiler para conocer cualquier instrucción específica sobre la entrega.

### Limpieza
- La camper debe devolverse en un estado **limpio y sin residuos personales**.  
- En caso de que la camper no se devuelva limpia interiormente, se aplicará un **cargo mínimo de 120 €**.  
- La limpieza exterior **no es necesaria** (aunque se agradece).

### Depósitos de agua
- El **depósito de aguas grises** debe estar vacío.  
- El **depósito de aguas negras del inodoro** también debe haberse vaciado en un punto adecuado antes de la devolución.

### Combustible
- La camper debe devolverse con el **mismo nivel de combustible** con el que fue entregada, reflejado en la hoja de daños.

### Revisión del vehículo
- Se realizará una inspección para comprobar que la camper no tenga daños y que se devuelva en las mismas condiciones en las que fue entregada.  
- Esta revisión **no se realiza en presencia del cliente**.  
- Furgocasa efectúa una revisión minuciosa en los días siguientes y comunica el resultado al cliente.  
- La devolución de la fianza se realiza en un **plazo aproximado de 5 a 10 días**.

---

## 2. Aparcar la camper en las instalaciones de FURGOCASA

Si llegas fuera del horario de atención y necesitas dejar la camper aparcada afuera:

### En la sede de Murcia
- Puedes dejar la camper en los **aparcamientos exteriores** de la nave, tanto en la **puerta principal** como en la **parte trasera** (acceso a la zona de aguas).  
- Estos aparcamientos exteriores están cerrados con **puerta y candado**.  
- Para entrar, abre el candado con el **código de 4 dígitos** facilitado en la entrega (normalmente anotado en la hoja de daños).  
- Aparca el vehículo sin bloquear accesos.  
- Verifica que has recogido todas tus pertenencias y cierra bien la camper.  
- Deposita las **llaves en el buzón exterior** mostrado en la entrega.  
- Finalmente, recuerda **cerrar de nuevo el candado** de la puerta exterior.

---

## 3. Vaciado de aguas en la nave de FURGOCASA

- Los clientes deben vaciar las **aguas grises y negras** en puntos de descarga autorizados **antes** de devolver la camper.  
- En las instalaciones de **Furgocasa no dispones de esa opción**.

---
"
ESP - GUIA DE INFORMACION GENERAL: COMO FUNCIONA LA CAMPER,"*** En la pagina de FURGOCASA existe una GUIA CAMPER (https://www.furgocasa.com/es/como-funciona-mi-camper-de-alquiler) y una sección de videos GUIA (https://www.furgocasa.com/es/video-tutoriales)


** En la GUIA CAMPER se recoge la siguiente información:
¿Cómo funciona una camper de alquiler?

*El panel de control: control del estado de baterías y aguas
Todas nuestras campers llevan un panel de control que sirve para:
•	Encender el automático de la electricidad.
•	Encender la bomba de aguas limpias.
•	Verificar el estado de carga de las baterías.
•	Verificar la cantidad restante de aguas limpias en el deposito.
•	Comprobar si el deposito de aguas sucias esta lleno (por encima del 75% de su capacidad).
•	Ocasionalmente, para encender la iluminación exterior del vehículo (accesorio que no todas nuestras campers tienen).
•	Ocasionalmente, encender un sistema alternativo de calefacción que utiliza las aguas negras (que hasta ahora nunca hemos tenido instalado en ninguna de nuestras campers; es menos habitual).
El funcionamiento es muy sencillo:
•	Con lo que respecta a niveles de baterías, de vivienda y vehículo, y aguas, solo hay que presionar el botón y la barra de estado indicara cual es el nivel.
•	En icono de aguas grises (parte superior a la derecha), único que no tiene botón de verificación, se enciende y parpadea cuando el agua grises supera el 75% del nivel; indicándonos que es el momento de vaciar.
•	A la derecha del panel, se encuentran los botones de encendido de la electricidad y bomba de agua. Se activan igualmente con el dedo, indicando el piloto si están encendidos o apagados.
 
*Electricidad de “la vivienda”
Las camper llevan dos sistemas eléctricos, cuya carga se puede comprobar con el panel de control de forma independiente:
•	El del vehículo, que funciona dando servicio al motor y elementos del salpicadero, del mismo modo que en cualquier vehículo.
•	El del habitáculo o “vivienda”, que da servicio al resto de elementos de la camper: calefacción, iluminación, nevera (según modelo), bomba de agua, etc.
El sistema del habitáculo funciona con una o varias baterías que dan servicio eléctrico de 12v a la luz, nevera, boiler de calefacción y algunas entradas de USB y de cargador “de mechero” que llevan los vehículos.
La carga de las baterías se produce tanto cuando circulamos con la camper (viajando), como cuando enchufamos la camper, a través de un cable, a una red eléctrica de 220v. En este caso, algunos enchufes que antes no funcionaban en el vehículo pasan a dar servicio también a 220v.
 
Si se prevé estar varios días en un mismo lugar y ante el riesgo de que no haya suficiente luz para las placas solares o de que el consumo exceda la capacidad de carga, es recomendable enchufar el vehículo a una red de 220v. Esto se puede hacer en muchas áreas de autocaravanas o campings que ofrecen estos servicios de forma accesoria a la propia pernocta.

También es recomendable, en caso de que sean muchos los dispositivos que se pretendan cargar a 12v, utilizar los periodos de marcha, de viaje, con el motor encendido o cuando estemos enchufados a 220v, para cargar todo lo posible y, una vez parados funcionando a 12v generar el menor consumo de baterías.

FURGOCASA proporciona con todas sus campers los conectores y el alargador necesario para que pueda conectar tu vehículo a la red de 220v.

*Gas propano: cocina, calefacción y agua caliente
Todas nuestras camper tienen un hueco en la parte posterior, al que se accede desde el maletero, donde se ubican las botellas de gas propano.

El gas propano da servicio, principalmente, a los fuegos de la cocina, a la calefacción y agua caliente y, en ocasiones, a las neveras (cuando estas son de gas y no eléctricas).

El Gas de nuestros vehículos es proporcionado por Furgocasa. Entregamos a los clientes las botellas con el gas para su viaje. Si por cualquier razón la botella se quedará sin gas, el cliente puede reponerla en cualquier gasolinera que encuentre en su viaje y Furgocasa se hará cargo del coste de la recarga.

Durante el viaje, las botellas deben estar cerradas, a fin de evitar riesgos mayores ante posibles accidentes. Una vez parados, antes de hacer uso de algún elemento que la requiera, se debe volver a abrir. Es especialmente importante en el caso de la calefacción y agua caliente, ya que, si encendemos éstos sin haber abierto previamente el gas, es posible que el sistema se bloquee tras varios intentos infructuosos de encendido. También es importante en el caso de las neveras a gas, que igualmente se terminan por bloquear sin tras varios intentos de encendido no tienen el gas abierto.

*Calefacción y agua caliente
El gas, como decíamos, permite que la autocaravana camper tenga calefacción y agua caliente. Existen también algunos modelos que toman como combustible el propio carburante del vehículo. Por norma general, ambas cosas se controlan desde el mismo panel de control.
Uno de los más habituales es el de la marca Truma.

El funcionamiento es muy sencillo. El panel consta de una pantalla y dos botones. El botón de la izquierda, rectangular, que sirve para volver hacia atrás. Y en central, redondo, es una ruleta, sobre el qué se puede hacer clic, que nos permite encender, seleccionar y movernos, haciéndolo girar, por el menú.

Presionando el botón central encendemos la pantalla y girándolo podemos movernos entre los elementos del menú. En este caso, nos importan principalmente tres:
•	El icono de una autocaravana con un termómetro: es el de la calefacción.
Seleccionado este icono, si hacemos clic en el botón central, accederemos a un “termostato” que nos permite, girando la propia rueda del botón, elegir la temperatura deseada. Una vez alcanzada, presionamos de nuevo el botón para fijar la temperatura.
Para apagarla, repetimos el proceso, pero fijando la temperatura deseada en 0 grados.
•	El icono de termómetro sobre el agua: es del agua caliente.

Situándonos sobre el icono y apretando el botón accedemos al menú de agua caliente que nos permite elegir entre OFF, ECO, HOT y BOOST. La diferencia entre los modos es que unos logran mayor temperatura del agua y la alcanzan de forma más rápida o más lenta.

Para apagarlo, accedemos de nuevo y elegimos OFF.

Cuando este encendido, aparece un icono arriba similar al propio del agua caliente que parpadea mientras se caliente el agua y que se queda en posición fija una vez se ha alcanzado la temperatura del agua programada.
•	El tercer icono similar aun ventilador: sirve para fijar el caudal del aire caliente de la calefacción.
 
*Neveras
Todas nuestras campers están equipadas con neveras. Su capacidad y eficiencia depende del modelo de camper y del tipo de nevera (de qué energía se alimentan).
Existe dos tipos de neveras: las que funcionan a 12v con compresor y las trivalentes de gas.
Las trivalentes de gas funcionan básicamente de tres formas:
•	A 220v: cuando la camper esta enchufada a la red eléctrica.
•	En el modo eléctrico en “marcha” que aprovecha la recarga que se produce con el motor del vehículo en marcha.
•	En el modo “estacionada”: Puede funcionar a gas"" haciendo uso del gas propano.
Cuando una nevera es “eléctrica” ella misma alterna sola entre los modos de uso. Hay que tener en cuenta que estas neveras conllevan un mayor consumo eléctrico y que, en consecuencia, es más fácil que estando mucho tiempo sin cargar dejen al vehículo con poca carga de batería.
Cuando una nevera es “de gas”, también existe la posibilidad de que intente cambiar de modo de forma automática, pero en tal caso hay que tener en cuenta que, dado que es recomendable viajar con la botella de gas cerrada, cuando paremos tras una marcha debemos abrir la botella de gas antes de que intente cambiar de modo (suelen tardar unos 5 minutos en hacerlo). En caso contrario, tras varios intentos se bloqueará y deberemos resetearla; lo cual se hace muy fácilmente manteniendo pulsado el botón de advertencia.
*Depósito de aguas limpias
Las autocaravanas campers llevan un depósito de aguas limpias, cuya capacidad suele ser similar a la del depósito de aguas sucias que las recoge, por debajo, una vez usado. La capacidad de los depósitos varía según el modelo, pero en las campers suele oscilar entre los 75 y 90 litros.
Esta agua limpia es la que, con la bomba eléctrica encendida, corre por los grifos, ducha y WC, una vez accionados.
El llenado de aguas limpias se realiza por la parte posterior, en un lateral, del vehículo. La apertura de llenado lleva un tapo que se abre CON UNA LLAVE DISTINTA A LA PROPIA DEL VEHICULO (llave que sirve también para abrir el hueco del cajón WC).
Es muy importante asegurarse bien, antes de abrir el depósito, que lo que se tiene en la mano es una manguera de agua limpia; en ningún caso se debe llenar el depósito con otras sustancias, tales como combustible, lubricantes, etc. En caso de introducir, por error, un líquido distinto de agua limpia es de extremada importancia no encender la bomba eléctrica ni abrir ninguno de los grifos hasta el vaciado, limpiado y (posiblemente) sustitución del depósito completo. En caso contrario, los líquidos corrosivos entrarían en el sistema de agua y calefacción produciendo importantes daños al vehículo.
FURGOCASA proporciona con todas sus campers la manguera y conectores necesarios para que puedas llenar el depósito de aguas limpias de tu vehículo.
 
*Depósito de aguas grises
Para recoger toda el agua que sale de los grifos y se filtra por los desagües, las campers tienen instalado en la parte inferior un deposito de aguas grises (residuales). Este deposito es de la misma capacidad que el deposito de aguas limpias y se puede verificar si esta cerca del llenado cuando, al excederse el 75% de su capacidad, se enciende el piloto parpadeante de aguas grises en el palen de control.
Para vaciarlo, las campervan llevan en uno de sus laterales una llave de apertura, bien de giro o bien de tiro, que abre el desagüe y permite la salida del agua.
Estas aguas son aguas residuales contaminantes y no pueden verterse en cualquier lugar. Al contrario, solo pueden verterse en las áreas de autocaravanas o camping con zonas de vaciado de aguas habilitadas. Hay por todo el territorio nacional (y europeo) y suelen estar identificadas con una señal:
 
 
*Depósito de aguas negras: WC químico
Como es lógico, la camper no esta conectada a un alcantarillado que permita que, al tirar de la cadena, lo expulsado salga de la camper y se valla por una tubería hasta la planta de tratamiento más cercano (nos lo han preguntado! ?).
Muy al contrario, como sucede en el caso de las embarcaciones, debajo del WC, existe un maletín, deposito, que va recogiendo todo y que hay que vaciar y limpiar, según el uso que hagamos de él, más o menos regularmente.
Junto con lo vertido dentro, para mitigar el olor y la proliferación de “otras formas de vida”, se añade, después de cada vaciado y limpieza, una pastilla (o liquido) especial para este tipo de baños químicos.
El depósito de aguas negras se encuentra debajo del WC.
Para usarlo desde el interior es necesario abrirlo, lo cual se hace girando la palanca que esta en el propio WC, desde dentro del baño (al abrirlo se ve el fondo interior del maletín). Es MUY IMPORTANTE asegurarse de que el cajetín está abierto antes de utilizar el WC, pues, en caso contrario, se puede producir vertidos y filtraciones por fuera del maletín que pueden filtrarse y afectar seriamente a las maderas interiores del habitáculo.

Una vez usado, hay que volver a cerrarlo; para mitigar los olores, posibles desbordamientos y, más importante, porque para poder sacarlo para vaciar y limpiar debe estar cerrado (en caso contrario se puede romper el cierre).
Para vaciarlo y limpiarlo, es necesario abrir el portón exterior del cajón situado en el lateral del vehículo. Este cajón exterior tiene una compuerta que se abre con la llave de aguas. Esta llave es distinta a la llave del propio vehículo y sirve también para abrir el depósito de aguas limpias; antes referido.
Se extra el maletín y se vierte el contenido, girando a la posición más cómodo y abriendo el codo, en una zona especifica de vaciado de aguas negras. Al igual que con las aguas grises, el contenido de este deposito solo se puede verter en las áreas de autocaravanas o camping con zonas de vaciado de aguas habilitadas.
 
*Problemas con los olores: ¿Cómo “solucionarlos”?
Como usuarios de camper que somos, sabemos que lo menos bueno de la experiencia pueden ser los olores que ocasionan las aguas grises y, sobre todo, el WC químico.
En el caso del depósito de aguas grises, debemos tener en cuenta que acumula todo lo que vertamos por los desagües. De manera que, si echamos por el desagüe de la cocina restos de comida, café, otras bebidas, o aprovechamos para hacer aguas menores cuando nos duchamos, todo eso junto en descomposición lo acabaremos, con mayor o menor intensidad, oliendo dentro del vehículo. Nuestra recomendación es ser consciente de esto e intentar verter en él principalmente agua, con los productos de limpieza que se hayan podido usar o jabones en la ducha y poco más.
Peor puede ser el olor del depósito químico del WC. Como es lógico, en función del mayor o menor uso que se haga de este depósito, el olor puede generarse más rápidamente o ser más intenso. En este caso recomendamos usarlo lo menos posible y aprovechar cualquier oportunidad que ofrezca el viaje para hacer uso del baño fuera de la camper. Esto no quiere decir que no se deba usar; al contrario, esta para usarse cuando no queda más remedio (de noche, cuando no encontramos otro baño, en una parda en viaje). Pero, cuanto menos, mejor.
En ambos casos, es conveniente también limpiar regularmente y a conciencia ambos depósitos.
En el caso del depósito de aguas grises, una vez vaciado, para limpiar, se puede añadir un poco de agua limpia con producto de limpieza y dejarlo para que en un viaje largo previsto se mueva y limpie y elimine el olor.
En el caso del WC, conviene, en cada vaciado, llenarlo hasta un cuarto con agua limpia y algún producto de limpieza, agitarlo bien, volver a vaciar y repetir el proceso cuanto sea necesario hasta que el agua salga totalmente limpia.
También es recomendable, por último, hacer uso de ambientadores y productos eliminadores de olor a fin de “mitigar” el problema.

*Seguridad en la carretera
Antes de circular revisa bien que tienes todos los cajones cerrados, con su seguro puesto. Revisa también la carga del maletero. Y MUY IMPORTANTE: asegúrate de recoger el escalón de fuera situado en el lateral: no está permitido circular con él y es muy peligroso."
ESP - Guía de invierno y conducción en la nieve,"Esta guía ofrece recomendaciones para el uso de la camper en condiciones invernales, incluyendo el uso del anticongelante, la conducción en la nieve y la instalación de cadenas.

1. Uso del anticongelante en la camper

Las campers de FURGOCASA ya están preparadas para operar en invierno y llevan anticongelante en el circuito de refrigeración del motor. Sin embargo, es recomendable:

Verificar el nivel del anticongelante antes de emprender un viaje a zonas frías, como Sierra Nevada.

Utilizar anticongelante con protección para temperaturas extremas si se prevén temperaturas bajo cero.

Evitar rellenar con agua sola, ya que reduce la efectividad del anticongelante.

Consultar el manual del vehículo para asegurarse del tipo de anticongelante adecuado.

Si tienes dudas sobre el estado del anticongelante, consulta con un mecánico antes del viaje.

2. Cómo conducir la camper en la nieve

Conducir en condiciones de nieve o hielo requiere precaución adicional. Sigue estas recomendaciones:

Revisar el estado de la carretera antes de salir y planificar rutas seguras.

Conducir con suavidad evitando aceleraciones y frenazos bruscos.

Mantener una mayor distancia de seguridad con otros vehículos.

Reducir la velocidad y evitar giros bruscos en zonas con nieve compactada o hielo.

Usar marchas largas en pendientes para mejorar la tracción.

Si patina la camper, no frenar bruscamente, sino soltar suavemente el acelerador y girar con cuidado en la dirección del derrape.

3. Cómo poner las cadenas para la nieve

Si la carretera está nevada o con hielo y las autoridades lo requieren, es obligatorio colocar cadenas en las ruedas motrices. Sigue estos pasos:

Preparación

Asegúrate de llevar cadenas adecuadas para el tamaño de los neumáticos de la camper.

Practica su colocación en un lugar seguro antes del viaje.

Instalación

Detente en un lugar seguro, con el freno de mano activado y el motor apagado.

Extiende las cadenas en el suelo para desenredarlas.

Coloca las cadenas sobre los neumáticos delanteros (si la camper es de tracción delantera) o traseros (si es de tracción trasera).

Engancha los cierres siguiendo las instrucciones del fabricante.

Ajuste

Conduce unos metros y revisa que las cadenas estén bien tensadas.

Ajusta si es necesario para evitar que golpeen la carrocería o el sistema de frenos.

Uso seguro

No superes los 50 km/h con las cadenas puestas.

Retira las cadenas cuando llegues a una carretera despejada para evitar daños en los neumáticos y el asfalto.

4. Consejos adicionales para viajar en invierno

Usa gas propano en lugar de butano, ya que el propano sigue funcionando a temperaturas muy bajas.

Mantén el FrostControl de Truma cerrado para evitar que se vacíe el depósito de agua caliente.

Evita dejar la camper sin calefacción en temperaturas bajo cero, ya que el agua en las tuberías podría congelarse.

Lleva ropa térmica y mantas adicionales por si surge una emergencia y necesitas resguardarte del frío.

Conclusión

Viajar en camper en invierno es una experiencia increíble, pero requiere ciertas precauciones. Siguiendo estos consejos, podrás disfrutar del viaje con mayor seguridad y comodidad incluso en condiciones de nieve o frío extremo.

"
ESP - Guía de la calefacción,"En FURGOCASA equipamos nuestras campers con dos sistemas principales de calefacción, según configuración interior y modelo:
•	Sistema a GAS → Truma Combi CP Plus
•	Sistema a DIÉSEL → Truma Combi D CP Plus o Webasto/Air Top (según modelo)
Ambos sistemas proporcionan calefacción del habitáculo y agua caliente sanitaria (en el caso de Truma Combi), pero difieren en la fuente energética usada.
________________________________________
1. Calefacción a GAS: Truma Combi CP Plus (habitual en vehículos con una cama trasera)
¿Qué es Truma Combi CP Plus a gas?
El sistema Truma Combi CP Plus es una calefacción combinada que utiliza gas propano o GLP almacenado en la bombona para:
•	Calefacción del habitáculo mediante aire caliente.
•	Agua caliente sanitaria para ducha y fregadero.
Funcionamiento básico
•	Al seleccionar la temperatura deseada desde el panel digital CP Plus, el sistema quema gas para calentar un intercambiador de calor.
•	El ventilador distribuye el aire caliente de forma homogénea por todo el habitáculo.
•	También calienta agua sanitaria almacenada en un depósito interno de aproximadamente 10 litros.
Panel digital CP Plus
El panel digital permite controlar fácilmente:
•	Temperatura del aire interior (5°C a 30°C).
•	Temperatura del agua sanitaria (Eco 40°C, Hot 60°C, o Boost para calentamiento rápido).
•	Velocidad del ventilador (auto o manual).
•	Programación de horarios.
Uso correcto paso a paso
1.	Abrir válvula de gas en la bombona.
2.	Encender panel CP Plus pulsando brevemente el botón central.
3.	Seleccionar temperatura deseada (símbolo de termómetro).
4.	Opcionalmente, activar agua caliente en modo Eco, Hot o Boost.
5.	Esperar unos minutos para que empiece a calentar y distribuir aire caliente.
________________________________________
2. Calefacción a DIÉSEL: Truma Combi D CP Plus (o Webasto)
(habitual en vehículos con dos camas traseras o según modelo)
¿Qué es Truma Combi D (diésel)?
La Truma Combi D funciona de manera similar al sistema a gas, pero utiliza como combustible el propio diésel del depósito del vehículo. También permite calefacción del habitáculo y producción de agua caliente sanitaria.
Funcionamiento básico
•	La calefacción extrae diésel directamente del depósito del vehículo.
•	El diésel se quema en un intercambiador interno para producir calor.
•	El ventilador distribuye aire caliente por el habitáculo, al mismo tiempo que calienta el agua sanitaria.
Ventajas del sistema diésel Truma Combi D:
•	Mayor autonomía: Utiliza el combustible del propio vehículo (sin necesidad de bombonas adicionales).
•	Comodidad: Menor preocupación por la recarga de gas.
•	Fácil repostaje: Se aprovecha el llenado habitual del depósito de combustible del vehículo.
Uso correcto paso a paso
1.	Asegúrate de tener suficiente combustible en el depósito del vehículo (siempre al menos ¼ del tanque lleno).
2.	Enciende el panel digital CP Plus.
3.	Selecciona temperatura deseada y, si lo necesitas, activa la opción de agua caliente.
4.	El sistema arrancará automáticamente (puede tardar unos minutos en iniciar la combustión del diésel).
5.	El aire caliente comenzará a circular de manera uniforme por el interior.
________________________________________
3. Consideraciones importantes aplicables a ambos sistemas
•	Consumo eléctrico (12V): Ambos sistemas consumen electricidad de la batería auxiliar para la ventilación y control electrónico. Mantén tu batería bien cargada para un funcionamiento adecuado.
•	Seguridad y ventilación: Asegúrate siempre que las rejillas interiores y exteriores estén libres de obstrucciones para evitar sobrecalentamientos.
________________________________________
Consejos específicos según combustible
Para calefacción a GAS:
•	Lleva siempre una bombona de gas de reserva en invierno.
•	Verifica periódicamente el nivel de gas para evitar quedarte sin suministro.
Para calefacción a DIÉSEL:
•	Evita que el nivel del depósito de combustible baje por debajo de un cuarto para asegurar el correcto funcionamiento.
•	Cada cierto tiempo, usa la calefacción brevemente incluso fuera de temporada para mantener limpio el quemador.
________________________________________
Preguntas frecuentes
•	¿Puedo utilizar la calefacción mientras conduzco?
NO, nuestro modelos no tienen calefacción homologada para utilizarse durante la conducción. Mientras conduces debes utilizar la calefacción de cabina del propio vehículo.
•	¿Cuánto tarda en calentar el agua?
Entre 15-30 minutos aproximadamente, dependiendo del modo seleccionado (Eco, Hot o Boost).
________________________________________
"
ESP - Guía de las baterías: Litio ,"# 🔋 Baterías de Litio vs Baterías de Gel en Campers

## ¿Qué es una batería de litio en una camper?
Las **baterías de litio (LiFePO4)** son la evolución moderna de las clásicas **baterías de plomo-ácido/gel** que se usan como segunda batería en campers y autocaravanas.  
Sirven para alimentar los consumos eléctricos de la vivienda (luces, nevera, bomba de agua, calefacción, cargadores, etc.).  

La gran diferencia está en **su eficiencia, capacidad real y vida útil**.

---

## ⚖️ Diferencias principales

### 1. Profundidad de descarga
- **Gel/AGM**: recomendable no descargar más del **50%** → una batería de 100Ah da solo unos **50Ah útiles**.  
- **Litio (LiFePO4)**: admite descargas de hasta el **90-100%** → una de 100Ah da casi **100Ah reales**.

### 2. Ciclos de vida (duración)
- **Gel/AGM**: entre **500 y 1.000 ciclos**.  
- **Litio**: más de **3.000 – 5.000 ciclos** (10+ años de uso intensivo).

### 3. Peso y tamaño
- **Gel/AGM**: muy pesadas (≈ **30 kg** para 100Ah).  
- **Litio**: mucho más ligeras (≈ **12-14 kg** para 100Ah).

### 4. Velocidad de carga y eficiencia
- **Gel/AGM**: carga lenta y eficiencia del **70-80%**.  
- **Litio**: carga rápida y eficiencia del **95-98%** → mejor aprovechamiento de placas solares.

### 5. Estabilidad de voltaje
- **Gel/AGM**: el voltaje cae a medida que se descargan, y los aparatos pueden apagarse antes de agotarse la batería.  
- **Litio**: mantienen un voltaje **estable hasta el final**, garantizando rendimiento constante.

---

## 🚐 Impacto real en la autonomía de una camper
- Una **litio de 100Ah equivale en la práctica a dos de gel de 100Ah**.  
- Menor peso = más carga útil para viajar.  
- Recarga mucho más rápida (motor o placas solares).  
- Mayor **independencia fuera de campings/áreas de servicio**.  
- Perfectas para consumos exigentes (nevera compresor, calefacción estacionaria, inversor para microondas, ordenadores, etc.).

---

## ✅ Autonomía eléctrica
- **La batería de lito casi triplica la autonomía de las anteriores baterías de gel.**  
- **Con la camper parada y, por tanto, si carga al conducir, con el litio y la placa solar, la camper puede tener una autonomía de hasta 2-3 días**, pasado este tiempo conviene recargar enchufándola a red eléctrica o rodando.

---

## ✅ Conclusión
- **Baterías de litio = más energía útil, más años de vida, menos peso, recarga más rápida y rendimiento estable.**  
- **En una camper = más autonomía y comodidad**, sobre todo viajando en libertad y dependiendo de la energía solar.
"
ESP - Guía de las mosquiteras,"## Uso correcto de las mosquiteras

Las mosquiteras permiten disfrutar del aire fresco sin que los insectos entren en la camper. Para mantenerlas en buen estado, sigue estas recomendaciones:

Instalación y ajuste

Asegúrate de que estén bien colocadas en puertas y ventanas.

Verifica que las guías y marcos estén correctamente alineados para evitar que queden espacios por donde puedan entrar insectos.

Mantenimiento y limpieza

Limpia las mosquiteras con un paño húmedo para eliminar polvo y suciedad acumulada.

Si están muy sucias, puedes usar una mezcla de agua y jabón neutro, asegurándote de secarlas completamente antes de volver a colocarlas.

Ten en cuenta que se pueden manchar fácilmente. 

Consejos de uso

Mantén las mosquiteras cerradas, especialmente al anochecer, cuando hay mayor presencia de insectos.

Evita empujar con fuerza las mosquiteras para no dañar la estructura o desalinearlas.

Si detectas que hace o va a hacer mucho viento, procura en ese caso cerrar mejor las ventanas y no dejarlas abiertas con las mosquiteras puestas, pues el viento puede llenarlas de suciedad y polvo y, mas importante, deformarlas..
"
